cowid," parity"," current dim"," days after breeding"," repro status"," days next breeding"," gestation length"," days dry"," test DIM"," test milk"," test fat%"," test protein%"," test scc"," 305d ME milk"," test bodyweight"," future days dry"," future gestation length"," breed"," NM$"," KeepValue"
5,3,208,27,Bred,16,281,0,207,70.0,3.6,2.9,-1,23116,-1,60,280,HO,121,1171
74,9,78,5,Bred,17,281,0,77,84.0,3.0,2.7,-1,25576,-1,60,280,HO,-54,428
156,3,287,216,Preg,10,281,0,286,48.0,3.7,3.0,-1,29889,-1,60,280,HO,196,933
162,9,246,0,Open,10,-1,0,245,48.0,4.2,2.7,-1,17045,-1,60,280,HO,58,601
174,3,170,39,Bred,4,281,0,169,116.0,2.2,2.5,-1,33206,-1,60,280,HO,136,445
197,2,357,211,Preg,10,281,0,356,44.0,4.6,3.3,-1,28440,-1,60,280,HO,164,624
266,3,100,9,Bred,13,281,0,99,106.0,3.8,3.1,-1,23850,-1,60,280,HO,440,31
276,8,294,250,Preg,10,281,28,294,-1.0,-1.0,-1.0,-1,24127,-1,60,280,HO,77,93
279,7,444,244,Preg,10,281,85,444,-1.0,-1.0,-1.0,-1,30517,-1,60,280,HO,0,978
348,9,149,31,Bred,12,281,0,148,78.0,4.2,2.6,-1,23960,-1,60,280,HO,-20,120
386,3,119,47,Preg,10,281,0,118,112.0,2.4,2.5,-1,26356,-1,60,280,HO,112,300
517,2,224,106,Preg,10,281,0,223,54.0,3.4,2.8,-1,26787,-1,60,280,HO,200,913
519,7,58,0,Open,10,-1,0,57,108.0,3.6,2.9,-1,-1,-1,60,280,HO,200,735
615,2,288,194,Preg,10,281,0,287,32.0,3.5,3.4,-1,28039,-1,60,280,HO,20,281
653,2,264,222,Preg,10,281,28,264,-1.0,-1.0,-1.0,-1,23609,-1,60,280,HO,237,1074
751,7,258,100,Preg,10,281,0,257,60.0,3.4,2.9,-1,27187,-1,60,280,HO,-46,1165
777,2,70,0,Open,10,-1,0,69,100.0,2.8,2.8,-1,29406,-1,60,280,HO,93,1056
845,2,87,12,Bred,10,281,0,86,84.0,2.9,2.8,-1,24304,-1,60,280,HO,254,378
846,7,278,190,Preg,10,281,0,277,50.0,2.9,3.1,-1,26072,-1,60,280,HO,181,448
847,7,277,131,Preg,10,281,0,276,70.0,6.1,4.7,-1,27569,-1,60,280,HO,-41,217
865,6,347,155,Preg,10,281,0,346,56.0,3.1,3.3,-1,28485,-1,60,280,HO,-28,149
867,5,201,127,Preg,10,281,0,200,66.0,3.3,3.1,-1,24592,-1,60,280,HO,-33,440
1017,7,232,120,Preg,10,281,0,231,88.0,3.0,2.8,-1,31113,-1,60,280,HO,195,382
1035,1,427,0,Open,10,-1,0,426,60.0,4.4,3.3,-1,-1,-1,60,280,HO,0,882
1048,7,153,0,Open,10,-1,0,152,78.0,3.3,2.8,-1,22281,-1,60,280,HO,0,345
1058,6,294,229,Preg,10,281,7,294,-1.0,-1.0,-1.0,-1,27718,-1,60,280,HO,232,109
1163,6,297,229,Preg,10,281,7,297,-1.0,-1.0,-1.0,-1,31028,-1,60,280,HO,0,153
1233,6,309,176,Preg,10,281,0,308,38.0,3.7,3.3,-1,18906,-1,60,280,HO,-8,472
1245,6,313,242,Preg,10,281,21,313,-1.0,-1.0,-1.0,-1,27364,-1,60,280,HO,142,399
